date,sales
2020-01-01,101.22
2020-02-01,104.7
2020-03-01,118.7
2020-04-01,122.83
2020-05-01,110.61
2020-06-01,109.07
2020-07-01,108.65
2020-08-01,100.73
2020-09-01,97.79
2020-10-01,93.79
2020-11-01,104.09
2020-12-01,110.53
2021-01-01,116.54
2021-02-01,129.64
2021-03-01,133.84
2021-04-01,131.9
2021-05-01,136.16
2021-06-01,126.72
2021-07-01,127.92
2021-08-01,118.06
2021-09-01,113.39
2021-10-01,110.75
2021-11-01,121.73
2021-12-01,123.07
2022-01-01,130.83
2022-02-01,139.99
2022-03-01,150.37
2022-04-01,153.07
2022-05-01,152.61
2022-06-01,148.55
2022-07-01,149.24
2022-08-01,132.91
2022-09-01,128.35
2022-10-01,126.49
2022-11-01,135.58
2022-12-01,144.47
2023-01-01,148.36
2023-02-01,154.31
2023-03-01,161.22
2023-04-01,170.48
2023-05-01,170.2
2023-06-01,165.27
2023-07-01,154.29
2023-08-01,151.73
2023-09-01,147.14
2023-10-01,146.89
2023-11-01,152.87
2023-12-01,157.12
2024-01-01,167.8
2024-02-01,174.21
2024-03-01,181.94
2024-04-01,186.68
2024-05-01,177.67
2024-06-01,178.09
2024-07-01,171.34
2024-08-01,164.52
2024-09-01,161.84
2024-10-01,168.27
2024-11-01,162.19
2024-12-01,176.37
